Resistor,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Value,Tolerance,Power Rating,Type,,,,,
Capacitor,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Value,Tolerance,Voltage Rating,Type,Temperature Grade,,,,
Inductor,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Value,Tolerance,Current Rating,Type,Saturation Current,Shielding,DCR,SRF,Q
BJT,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Vcemax,Icmax,Power Rating,Type,Hfe,Vcemax,,,
MOSFET,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Vdsmax,Idmax,Power Rating,Type,Rdson,Vdsmax,Qc,Qg,
IC-Analog,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,,,,,,,,,
IC-Digital,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,,,,,,,,,
IC-Power,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,,,,,,,,,
IC-Converter,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,,,,,,,,,
IC-Specialty,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,,,,,,,,,
Diode,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Vf,Vr,Power Rating,Type,Reverse Leakage,,,,
LED,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Vf,Lens Type,Wavelength,Color,,,,,
Connector,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,Connections,Pitch,Series,Type,,,,,
Misc,uuid,Mfg,Mfg#,Vendor1,Vendor1#,Vendor2,Vendor2#,Symbol,Footprint,Description,,,,,,,,,
